impactparameter,scenario,commodity,region,productiontype,year
Area,SSP2-GFDL,All Cereals,-,-,2005
Food Demand,SSP2-HGEM,All Pulses,Afghanistan,air,2010
Net trade,SSP2-IPSL,Banana,Albania,arf,2020
Production,SSP2-MIRO,Barley,Algeria,,2030
World price,SSP2-NoCC,Beans,Angola,,2040
Yield,,Cassava,Argentina,,2050
,,Chickpeas,Armenia,,
,,Cowpeas,Australia,,
,,Groundnut,Austria,,
,,Lentils,Azerbaijan,,
,,Maize,Baltic States,,
,,Millet,Bangladesh,,
,,Pigeonpeas,Belarus,,
,,Plantain,Belgium-Luxembourg,,
,,Potato,Belize,,
,,Rice,Benin,,
,,Sorghum,Bhutan,,
,,Soybean,Bolivia,,
,,Sweet Potato,Botswana,,
,,Wheat,Brazil,,
,,Yams,Bulgaria,,
,,,Burkina Faso,,
,,,Burundi,,
,,,Cambodia,,
,,,Cameroon,,
,,,Canada,,
,,,Central African Rep.,,
,,,Chad,,
,,,Chile,,
,,,China,,
,,,Colombia,,
,,,Congo,,
,,,Costa Rica,,
,,,Croatia,,
,,,Cuba,,
,,,Cyprus,,
,,,Czech Republic,,
,,,Denmark,,
,,,Djibouti,,
,,,Dominican Republic,,
,,,DRC,,
,,,Ecuador,,
,,,Egypt,,
,,,El Salvador,,
,,,Equatorial Guinea,,
,,,Eritrea,,
,,,Ethiopia,,
,,,Fiji,,
,,,Finland,,
,,,France,,
,,,Gabon,,
,,,Gambia,,
,,,Georgia,,
,,,Germany,,
,,,Ghana,,
,,,Greece,,
,,,Guatemala,,
,,,Guinea,,
,,,Guinea-Bissau,,
,,,Guyanas,,
,,,Haiti,,
,,,Honduras,,
,,,Hungary,,
,,,Iceland,,
,,,India,,
,,,Indonesia,,
,,,Iran,,
,,,Iraq,,
,,,Ireland,,
,,,Israel,,
,,,Italy,,
,,,Ivory Coast,,
,,,Jamaica,,
,,,Japan,,
,,,Jordan,,
,,,Kazakhstan,,
,,,Kenya,,
,,,Kyrgyzstan,,
,,,Laos,,
,,,Lebanon,,
,,,Lesotho,,
,,,Liberia,,
,,,Libya,,
,,,Madagascar,,
,,,Malawi,,
,,,Malaysia,,
,,,Mali,,
,,,Mauritania,,
,,,Mexico,,
,,,Moldova,,
,,,Mongolia,,
,,,Morocco,,
,,,Mozambique,,
,,,Myanmar,,
,,,Namibia,,
,,,Nepal,,
,,,Netherlands,,
,,,New Zealand,,
,,,Nicaragua,,
,,,Niger,,
,,,Nigeria,,
,,,North Korea,,
,,,Norway,,
,,,Other Atlantic,,
,,,Other Balkans,,
,,,Other Caribbean,,
,,,Other Indian Ocean,,
,,,Other Pacific Ocean,,
,,,Other Southeast Asia,,
,,,Pakistan,,
,,,Palestine,,
,,,Panama,,
,,,Papua New Guinea,,
,,,Paraguay,,
,,,Peru,,
,,,Philippines,,
,,,Poland,,
,,,Portugal,,
,,,Rest of Arabia,,
,,,Romania,,
,,,Russia,,
,,,Rwanda,,
,,,Saudi Arabia,,
,,,Senegal,,
,,,Sierra Leon,,
,,,Slovakia,,
,,,Slovenia,,
,,,Solomon Islands,,
,,,Somalia,,
,,,South Africa,,
,,,South Korea,,
,,,Spain,,
,,,Sri Lanka,,
,,,Sudan,,
,,,Swaziland,,
,,,Sweden,,
,,,Switzerland,,
,,,Syria,,
,,,Tajikistan,,
,,,Tanzania,,
,,,Thailand,,
,,,Timor L'Este,,
,,,Togo,,
,,,Tunisia,,
,,,Turkey,,
,,,Turkmenistan,,
,,,Uganda,,
,,,UK,,
,,,Ukraine,,
,,,Uruguay,,
,,,USA,,
,,,Uzbekistan,,
,,,Vanuatu,,
,,,Venezuela,,
,,,Vietnam,,
,,,World,,
,,,Yemen,,
,,,Zambia,,
,,,Zimbabwe,,
